date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
2018-12-23, Software Engineer,,Current Employee ,software engineer,software engineer,0,"Great CTO from Survey Monkey who is very smart and thoughtful, love our mission, could not be happier as a engineer in Silicon Valley, great team, management and culture, awesome CEO",Can't think of any to write,"Great job hiring and retaining talent, I have a friend who works at a medical tech company and their talent leaves within a year or less",5.0,5.0,5.0,5.0,5.0,5.0
2019-03-07,,,Current Employee ,Honesty is the best policy,Honesty is the best policy,0,"CEOs actually care to be transparent, own any mistakes or misunderstandings, strive to ensure the office has a great culture, are honest, caring and treat everyone in the office as equals.
Great culture- well get along great
Good benefits
Transparency throughout the whole office and departments
Nice office
Flexibility
Work life balance
Feels like the whole office is a team
Compensation is decent
Dog- friendly
Experienced recruiting has led to great hires that not only fit in well with the team but are also extremely talented","Still some minor start-up kinks to work out
Commute -but not severe",Keep doing what you're doing! It's great!,4.0,5.0,5.0,3.0,4.0,5.0
2018-10-18,,"San Francisco, CA",Current Employee ,Amazing place to grow and make an immediate impact,Amazing place to grow and make an immediate impact,0,"A very special company with transparent, authentic leadership and goals. I can see what everyone is working on via Asana.
Ability to focus on top 1-2 priorities and have conversations on what won’t get done (rare in my experience).
Great work life balance with reasonable expectations from leadership.
Ability to make an impact given small size of company. Very refreshing as compared to larger, bureaucratic organizations.
Very collaborative environment with low egos yet high caliber people.",None that I can think of.,Keep doing what you’re doing and balance great culture with business results!,5.0,5.0,5.0,5.0,5.0,5.0
2018-08-16,,"San Francisco, CA",Current Employee ,Enginner,Enginner,0,"Love the management style.
1<>1's great
growth and innovation
great new office and location",can't think of a thing.,Awesome founders,5.0,5.0,5.0,4.0,5.0,4.0
2018-06-04, Product Designer,"San Francisco, CA",Current Employee ,Great place to grow,Great place to grow,0,"Great environment
Challenging job
Lots of good perks",The office is small but we are moving to the new location which is much bigger! so yay,nothing,5.0,5.0,5.0,5.0,5.0,5.0
2018-05-11,,,Current Employee ,Great place to work!,Great place to work!,0,"- Top-notch engineers
- Great culture
- Work/Life balance
- Your opinion gets heard
- Recognition for your work","- Need a bigger office
- Need better conference rooms",,5.0,5.0,5.0,5.0,5.0,5.0
2018-04-25,,"San Francisco, CA",Current Employee ,Software Development,Software Development,0,"Great culture
Awesome people
Praise and Recognition from CEO's and Managers
You get to help with Design and Product features
You can work remote
Work/Life Balalance","I wish they would change lunch vendors.
Need bigger office
More conference rooms",,5.0,5.0,5.0,5.0,4.0,5.0
2017-09-08, Software Engineer,"San Francisco, CA",Current Employee ,"Its better than your current job, way better","Its better than your current job, way better",0,"- They value my input. I'm not a product person so them taking and implementing my ideas into the product makes me feel great
- People are awesome! We have happy hours every Friday where everyone comes out and you get to talk about more than just work.
- Dog friendly!
- The product is interesting. You can't say that about everyone's product but online dating is such an interesting topic to discuss.",The office doesn't have air conditioning so that one day a year when its hot in SF...,,5.0,5.0,5.0,5.0,4.0,4.0
2017-09-08,,,Current Employee ,Great company!,Great company!,0,"I love the people, culture, the leadership team, everything about this company!",Nothing I can think of.,Keep up the great work.,5.0,5.0,5.0,5.0,5.0,5.0
2017-09-08, Marketing Team,"San Francisco, CA",Current Employee ,Fast-Paced & Friendly,Fast-Paced & Friendly,0,"I've only been with Coffee Meets Bagel for a week, but I can already tell I'm going to love my time here. The community is tight-knit and friendly and the work continues to excite- what more could you ask for? Super pumped to see where CMB takes me!",I have yet to experience any cons!,,5.0,5.0,5.0,5.0,5.0,5.0
2017-09-08,,"San Francisco, CA",Current Employee ,CMB is an amazing place to work!,CMB is an amazing place to work!,0,The culture internally is amazing. Everyone is extremely good at what they do and passionate about making a huge impact in the dating space.,There are no cons to working here.,,5.0,,,,,
2017-09-08,,,Current Employee ,Love working here,Love working here,0,"- The entire company is rallied on bringing innovations to enable authentic connection for this generation. It's really exciting.
- Team appreciates and recognizes the work I do
- Super collaborative culture",- Wish we had a larger office,Let's keep rock and rolling!,5.0,5.0,5.0,5.0,5.0,5.0
2017-09-08,,"San Francisco, CA",Current Employee ,I'm a Happy Bagel!,I'm a Happy Bagel!,0,"I love working at Coffee Meets Bagel! It feels like a small tight-knit family since we're only around 30 people.

Pros:

-Ideas for Friday - everyone can suggest feature ideas or ideas to improve the company which are shared at Friday all hands meetings
- Happy hour every Friday!
- Our office dog, Holly
- Availability and openness from execs - I see our founders every day and chat with them often
- Tons of room for personal growth and ability to take on new projets
- Generally nice, interesting and funny people to work with
- Great work-life balance and ability to work remotely
- Unlimited paid PTO","- Compensation could be higher
- Meals only once a week
- No 401K matching
- Office sometimes gets hot
- We're starting to outgrow our office space so booking conference rooms is sometimes a struggle",- Please give us some of those bougie tech perks that many other companies in the Bay Area have,5.0,5.0,5.0,5.0,3.0,5.0
2017-09-08,,,Current Employee ,Lots of personal growth,Lots of personal growth,0,"- Grateful to work with these intelligent and creative people on the team
- Fun and collaborative work environment
- They really care about your personal growth",- We're still growing so there would be room for improvement,,5.0,5.0,5.0,,,
2017-09-08,,"San Francisco, CA",Current Employee ,2+ years and still loving it!,2+ years and still loving it!,0,"- The coworkers and future employs here are always inline with the companies culture. Each day it's wonderful to walk in and work with people that take the high level goals seriously.

- There is a lot of room to grow into a role. I started very junior in a very specific position and my team has expanded, my title has changed, and I have learned a lot of new things

- It's pretty awesome when people approach you on the street to tell you about how they met someone. We celebrate other peoples relationship celebrations.

- The team outings!",- Office can get quite hot,,5.0,4.0,5.0,5.0,4.0,5.0
2017-09-08, Data,"San Francisco, CA",Current Employee ,Data Engineer,Data Engineer,0,"A lot of ownership. The data drives the product, and you can have an impact on the revenue. You make people fall in love!!",The office can sometimes be too hot and noisy.,,5.0,3.0,5.0,4.0,3.0,5.0
2017-09-08,,"San Francisco, CA",Current Employee ,I totally recommend joining Coffee Meets Bagel,I totally recommend joining Coffee Meets Bagel,0,"I totally recommend working here. Great vibe. Lots of opportunities to start your own projects. You can greatly advance in what you are good at.
You feel like you are part of something that changes other peoples' lives for better.
Very personal approach, lots of channels to bring your ideas to the table. HR is very oriented on making the workflow as easy as possible. Commitment is rewarded and we appreciate each other's work a lot.",The office is located in a touristy place.,,5.0,5.0,5.0,5.0,4.0,5.0
2017-09-08, Software Engineer,"San Francisco, CA",Current Employee ,Great company,Great company,0,A team of smart engineers and customer focussed team members. The overall work environment is super collaborative and positive.,Continue to grow the team and focus on existing employee happiness & career growth,,5.0,3.0,5.0,4.0,2.0,5.0
2017-09-08, Senior DevOps Engineer,"West Plains, MO",Current Employee ,It is a great place to work.,It is a great place to work.,0,"It is a great place to work in every way, but the most important aspect to me is that you can really tell that the management and founders really care about the happiness of the people that work there.","I would share if there were any, but really, really I don't have any. Whenever I have brought an issue up to management they addressed it directly and immediately... so at this point I don't actually have anything that can go into the con list.",,5.0,5.0,5.0,5.0,5.0,5.0
2017-09-08,,,Current Employee ,Great place to work,Great place to work,0,"Classic start-up culture (in a good way), everyone who works here is super smart and driven and you'll have the opportunity to try your hand at different types of things, you're not stuck in your lane. Work hours and benefits are awesome, the product is awesome, and it's just a job and company I feel genuinely excited about each day.","Things can get a little disorganized and crazy at times considering it's comparatively a small operation for a big app, and there can be some disconnect between teams that should be communicating better. The CEO can also be a little out of touch sometimes. Salaries could be more competitive.",,4.0,5.0,4.0,5.0,4.0,4.0
2017-01-26,,"San Francisco, CA",Current Employee ,"Coffee, Bagels, and a whole lotta delight!","Coffee, Bagels, and a whole lotta delight!",0,"Where do I even begin to describe Coffee Meets Bagel... My work history involves time at for some of the biggest tech companies in the Valley. I switched over to the startup culture to get some leg room in my career. I wanted to work cross-functionally, and be allowed opportunities to do things outside my official job role. And boy oh boy, did I get it! Have an idea? You are heard! Want to try out something new? You got it! New marketing idea? Whip up a presentation and show the team what you've got! CMB's open mind, and positive attitude, makes doing anything at this company a delightful, engaging, and all-around fulfilling experience. I've never felt more valued and appreciated in a role than I do at CMB. Your future at this company is limited only insofar as you limit yourself. Aim for the stars, and that's exactly where you land. The people in this office are what enables all of this. I feel like my brain, my skills, and my abilities are exponentially larger because of the people I work with. I absolutely love working with talented people--it inspires me, and at CMB, I'm inspired everyday.",None are coming to mind!,"Keep making your team feel valued and their career path attainable and clear. Maintain your moral and stand by your values, and that will take us very far in the dating app business.",5.0,5.0,5.0,5.0,5.0,5.0
2017-01-29, Senior Software Engineer,"San Francisco, CA",Current Employee ,Wonderful company,Wonderful company,0,"The founders care about the company culture. They have weekly company status meetings where the company's financial and product status are shared openly, in a positive but unvarnished way, which is amazing. The goals are clear and consistent. When there's a hiccup in the rollout of a new feature, everyone pitches in to fix it asap.

All employees are supportive and collegial. The work is interesting and it feels great to work on something meaningful.

The compensation seems to be market-rate for a start-up, and I think compares well even established small companies.","They have a single large loft office, which every study shows is the worst office space for employee productivity. Some technical processes are left over from when they were very understaffed and it would be good to unwind them now that the company is better staffed.",Keep doing what you're doing!,5.0,5.0,5.0,4.0,4.0,5.0
2017-01-26,,"San Francisco, CA",Current Employee ,Really great place to grow,Really great place to grow,0,"This company will let you shine and use your talent in professional life.
It'a group of really skilled people who work closely as a team.
We have a great atmosphere. It is a pleasure for me to be here and pursue our common goal of bringing people together.",It's not a big corporation if that's somebody's preference.,,5.0,5.0,5.0,4.0,4.0,5.0
2017-01-26,,,Current Employee ,Amazing place to work!,Amazing place to work!,0,"- Team is super intelligent and collaborative
- Problems being solved is interesting and challenging
- Fun environment to work in",- Nothing really to say here,,5.0,5.0,5.0,5.0,5.0,5.0
2017-01-26, Software Engineer,"San Francisco, CA",Current Employee ,A truly incredible place to work!,A truly incredible place to work!,0,"Coffee Meets Bagel is an amazing place to work. Its full of friendly and interesting people who are a joy to work with. The office has a great vibe and allows freedom to work in the manner that suits you best: at a desk, on the couch or even on the massive beanbag. The work involves solving interesting problems and is very fulfilling.","So many free delicious snacks, i just want to eat all the time...",,5.0,4.0,5.0,5.0,5.0,5.0
2017-01-27,,,Former Employee ,Friendly but odd office atmosphere,Friendly but odd office atmosphere,0,"intelligent, friendly, respectful founders and fun, kind co-workers, company outings and happy hours often",not always a completely inclusive team,,4.0,5.0,5.0,4.0,3.0,5.0
2017-01-02,,,Current Employee ,A place to grow,A place to grow,0,"It's a supportive work environment that ensures you have everything you need to do your job well. It's a growing company, which means it's a great place to get firsthand experience with scaling problems and solutions. The people are friendly, the office is nice, come work with us!","There can be growing pains, but as mentioned under pros, the company is supportive and tries to maintain its core values.",,5.0,4.0,4.0,4.0,4.0,4.0
2016-12-16,,,Current Employee ,"Great work environment, great people!","Great work environment, great people!",0,The work environment is very collaborative. Everyone works together towards a common goal and trusts their team members. I would consider everyone I work with a real friend. Happy to come to work each day.,"We're definitely growing, so it can be hard to maintain the same ""family"" feel.",,5.0,5.0,5.0,5.0,,
2016-12-22,,,Current Employee ,"Great team, culture, and leadership","Great team, culture, and leadership",0,"As cliche as it may sound, I think great companies come from a collaboration of great people and leadership, and I'm impressed by what CMB has done on this front. Each team member brings their own strengths to the table, and the collaborative culture has ensured that we're always learning from each other. The organization is currently pretty flat and pretty small... there's a lot of opportunity for people with enough initiative to make a big impact.

In my time with the company, I've learned a ton, and I really enjoy working on a consumer-facing problem. It's been great both for my personal and career growth.

I think the prospects of the company are very bright. Our focus on the customer (in part with our excellent CS team) and on women in particular, is paying a lot of dividends. The management is very transparent, which in part comes from the confidence they have in the future of the company.","At times, our hiring criteria are arguably too strict. The company generally hasn't been in a rush to fill open positions, but we've possibly passed on some strong candidates.",,5.0,4.0,5.0,4.0,4.0,5.0
2016-12-16,,,Current Employee ,Pretty great,Pretty great,0,"Transparent and honest leadership.
Very inclusive and collaborative company culture.
Smart and hard working coworkers.","Standard technical growing pains can make work a bit stressful at times, but nothing abnormal or beyond reason for a small company.",,4.0,3.0,5.0,4.0,4.0,5.0
2016-11-03,,"San Francisco, CA",Former Employee ,Company conducts fake interviews,Company conducts fake interviews,0,Dating company that is well funded and has some momentum with about 30 or so employees,They are conducting fake interviews and trying to pick on the brain of candidates - this sucks.,,1.0,2.0,1.0,1.0,3.0,1.0
